File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017331_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-27,4292.0,0.0002,0.4961,"(0.0002,0.4961)",0.2031,0.1207,0.0146,0.294,0.4961,0.1984,0.0002,0.1007
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017331_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-27,4250.0,0.0002,0.3186,"(0.0002,0.3186)",0.0707,0.0648,0.0042,0.1086,0.2445,0.0502,0.0002,0.018
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017332_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-28,5168.0,0.1838,1.0,"(0.1838,1.0)",0.6484,0.1927,0.0371,0.8066,1.0,0.6421,0.1838,0.4962
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017332_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-28,5160.0,0.0002,0.4961,"(0.0002,0.4961)",0.2017,0.1152,0.0133,0.2845,0.4961,0.1971,0.0002,0.1084
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017332_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-28,5115.0,0.0002,0.3186,"(0.0002,0.3186)",0.0765,0.0644,0.0041,0.1179,0.2621,0.0602,0.0002,0.0218
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017333_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-29,3833.0,0.1838,1.0,"(0.1838,1.0)",0.6634,0.1895,0.0359,0.8165,1.0,0.6581,0.1838,0.5165
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017333_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-29,3827.0,0.0002,0.4961,"(0.0002,0.4961)",0.2086,0.121,0.0146,0.3004,0.4961,0.2062,0.0002,0.1083
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017333_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-29,3783.0,0.0002,0.3186,"(0.0002,0.3186)",0.0703,0.0652,0.0043,0.108,0.2435,0.0491,0.0002,0.0172
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017334_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-30,4691.0,0.1925,1.0,"(0.1925,1.0)",0.6461,0.1972,0.0389,0.8097,1.0,0.6377,0.1925,0.4884
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017334_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-30,4683.0,0.0002,0.4901,"(0.0002,0.4901)",0.1987,0.1143,0.0131,0.2819,0.4901,0.1964,0.0002,0.1051
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017334_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-30,4639.0,0.0002,0.3186,"(0.0002,0.3186)",0.0788,0.0656,0.0043,0.1203,0.2657,0.0624,0.0002,0.0233
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017335_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-12-01,5165.0,0.1838,1.0,"(0.1838,1.0)",0.6488,0.1923,0.037,0.806,1.0,0.6421,0.1838,0.4973
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017335_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-12-01,5157.0,0.0002,0.4961,"(0.0002,0.4961)",0.2031,0.1158,0.0134,0.2867,0.4961,0.199,0.0002,0.1092
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017335_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-12-01,5112.0,0.0002,0.3186,"(0.0002,0.3186)",0.0752,0.0641,0.0041,0.1163,0.2594,0.0584,0.0002,0.0207
